SITE_CODE,MSMT_DATE,RPE,GSE,RPE_WSE,WSE,GSE_WSE,WLM_QA_DESC,SUBMITTING_ORG_NAME,COLLECTING_ORG_NAME,MSMT_CMT
346182N1201206W001,03/15/1955 08:15:00,560.61,565.31,46,514.61,50.7,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1955 08:30:00,560.61,565.31,45.69,514.92,50.39,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1956 08:15:00,560.61,565.31,48.14,512.47,52.84,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1957 08:30:00,560.61,565.31,47.58,513.03,52.28,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1957 09:15:00,560.61,565.31,67.19,493.42,71.89,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1958 08:30:00,560.61,565.31,47.86,512.75,52.56,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1959 09:00:00,560.61,565.31,48.43,512.18,53.13,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,07/15/1963 09:15:00,560.61,565.31,44.86,515.75,49.56,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1964 10:30:00,560.61,565.31,45.52,515.09,50.22,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,12/15/1964 09:45:00,560.61,565.31,46.31,514.3,51.01,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1966 10:31:00,560.61,565.31,47.02,513.59,51.72,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1967 10:31:00,560.61,565.31,45.92,514.69,50.62,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1967 10:31:00,560.61,565.31,53.18,507.43,57.88,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1968 10:31:00,560.61,565.31,46,514.61,50.7,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1968 10:31:00,560.61,565.31,50.54,510.07,55.24,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1969 10:16:00,560.61,565.31,42.59,518.02,47.29,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1969 10:31:00,560.61,565.31,42.57,518.04,47.27,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1970 10:16:00,560.61,565.31,41.93,518.68,46.63,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,10/15/1970 10:31:00,560.61,565.31,42.59,518.02,47.29,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1971 10:31:00,560.61,565.31,42.2,518.41,46.9,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,09/15/1971 10:31:00,560.61,565.31,42.49,518.12,47.19,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1972 10:31:00,560.61,565.31,42.17,518.44,46.87,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1973 11:31:00,560.61,565.31,41.16,519.45,45.86,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1974 10:31:00,560.61,565.31,41.55,519.06,46.25,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
